Age,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
38,Operations,Senior,High School,80433,6,3,4,1,0
44,Sales,Senior,Bachelor,44315,14,4,3,0,0
34,Finance,Manager,Master,125835,13,1,4,0,0
54,Sales,Junior,PhD,150801,7,4,1,0,0
32,Operations,Senior,PhD,41696,11,1,4,1,1
42,IT,Executive,Bachelor,174320,17,3,4,1,0
26,Operations,Executive,Bachelor,171031,11,4,1,0,0
56,Sales,Manager,PhD,43341,11,2,3,0,0
56,Finance,Senior,High School,66593,8,1,3,0,0
42,Sales,Executive,Bachelor,110467,4,4,4,0,0
34,HR,Senior,PhD,126857,4,1,1,1,1
36,HR,Executive,PhD,106357,5,2,1,0,1
56,Finance,Executive,PhD,71436,1,3,1,0,0
45,Operations,Manager,Master,151828,17,1,1,0,1
52,Sales,Senior,Bachelor,106510,2,2,3,0,0
53,HR,Senior,PhD,50668,14,2,2,1,1
56,IT,Manager,Bachelor,21571,8,4,2,0,0
40,HR,Senior,PhD,192778,14,3,4,1,0
38,Operations,Senior,Master,95202,18,1,1,0,0
58,Finance,Executive,Bachelor,128896,0,2,1,0,1
23,IT,Executive,Bachelor,31221,6,1,2,0,1
43,Sales,Senior,PhD,58647,17,2,3,1,1
52,Sales,Senior,Bachelor,48294,19,3,2,0,0
36,Finance,Senior,PhD,50445,13,3,3,0,0
25,IT,Executive,Master,119552,15,3,3,0,0
24,IT,Executive,PhD,159169,5,1,1,1,1
41,IT,Executive,PhD,196389,15,3,1,1,0
34,Finance,Manager,Master,30332,14,4,3,1,0
59,Finance,Junior,PhD,155795,12,3,4,0,0
51,Sales,Manager,PhD,119024,15,2,3,1,0
34,HR,Senior,Bachelor,87407,8,3,4,0,0
26,Operations,Junior,Bachelor,57754,10,3,1,1,1
32,Sales,Junior,Master,20925,18,2,4,0,0
36,IT,Senior,PhD,195675,8,4,2,1,0
37,HR,Junior,Master,60904,16,1,1,0,1
43,Operations,Executive,Bachelor,77410,3,3,3,0,0
34,IT,Senior,PhD,99080,1,1,4,0,0
27,Finance,Manager,Master,63294,18,1,4,1,0
52,HR,Junior,Bachelor,22107,7,1,1,1,1
35,Finance,Junior,High School,193781,2,2,2,0,0
37,Operations,Junior,PhD,65376,9,4,4,0,0
54,Operations,Junior,Master,106670,13,4,2,0,0
25,IT,Manager,High School,179529,9,2,2,1,1
47,Finance,Senior,PhD,195834,7,1,1,1,1
43,Sales,Junior,Bachelor,128620,14,1,2,1,1
34,Sales,Executive,Master,168554,8,1,1,1,1
35,Finance,Senior,PhD,150843,12,3,3,0,0
53,Operations,Junior,Master,106074,13,2,3,1,1
51,HR,Manager,PhD,31032,14,1,3,1,1
55,Finance,Junior,PhD,82606,10,2,2,1,1
37,IT,Senior,High School,90653,14,1,4,1,1
48,Sales,Manager,PhD,144621,5,2,1,0,1
39,IT,Executive,Master,90163,10,2,3,0,0
43,HR,Executive,PhD,127775,1,4,2,0,0
52,Sales,Junior,PhD,45916,3,3,4,0,0
33,Sales,Junior,High School,100366,7,3,1,0,0
40,Sales,Junior,Master,122300,10,3,2,1,0
55,IT,Junior,Bachelor,34954,0,4,2,1,1
25,Operations,Executive,High School,120540,18,3,2,0,0
29,IT,Executive,Master,80588,7,4,3,1,0
49,Operations,Junior,High School,24708,4,4,2,0,0
26,Finance,Executive,High School,54014,2,4,1,1,0
45,Sales,Senior,PhD,171652,6,4,2,0,0
51,IT,Manager,Bachelor,104249,1,3,4,1,0
42,HR,Junior,High School,104690,3,3,1,0,0
22,HR,Executive,Master,34485,11,4,2,1,1
25,Operations,Executive,High School,46715,0,2,1,0,1
47,Operations,Manager,Bachelor,95901,0,3,4,0,0
45,Sales,Senior,High School,77267,9,4,1,0,0
28,Operations,Manager,PhD,37905,12,2,3,0,1
21,HR,Junior,PhD,60516,13,4,1,1,0
40,IT,Junior,Master,170812,10,2,2,1,1
43,IT,Junior,High School,44929,15,1,1,0,0
52,Operations,Senior,Bachelor,109462,14,1,2,0,1
31,Operations,Manager,Bachelor,146158,3,4,4,0,0
59,HR,Senior,High School,173773,17,2,4,0,0
44,Finance,Executive,Master,35552,15,2,2,0,1
31,IT,Senior,High School,28455,8,3,1,1,1
49,Operations,Senior,PhD,62679,17,1,4,0,0
46,Sales,Junior,PhD,93744,0,4,4,0,0
36,Operations,Manager,Master,24343,15,1,1,0,1
55,Operations,Executive,PhD,196395,9,3,2,1,0
40,IT,Senior,Master,147030,5,4,2,0,0
23,Operations,Manager,High School,110201,10,1,2,0,0
21,Sales,Manager,High School,84195,9,4,2,1,0
21,Sales,Junior,Bachelor,141441,8,1,2,1,1
37,Sales,Manager,High School,91297,3,3,1,1,0
22,HR,Manager,Bachelor,177058,16,3,4,0,0
49,Sales,Executive,PhD,20659,10,2,3,1,1
40,IT,Manager,PhD,190231,15,4,1,1,0
26,Finance,Senior,Master,115462,19,4,3,1,0
28,Operations,Executive,PhD,160659,12,1,3,1,1
49,Operations,Manager,Bachelor,154997,7,1,2,1,1
53,Operations,Junior,Bachelor,117229,12,1,1,1,1
23,Sales,Executive,Bachelor,164743,0,2,4,0,0
55,Sales,Executive,High School,173849,4,1,4,0,0
25,Sales,Manager,High School,152970,4,3,3,1,0
47,Finance,Junior,Master,65577,19,1,1,0,0
32,Finance,Executive,PhD,42238,0,4,1,1,1
40,Finance,Manager,Master,75752,2,4,3,1,0
40,Finance,Manager,Bachelor,21865,9,1,2,0,1
29,Finance,Senior,Bachelor,94751,13,3,2,0,0
59,Operations,Executive,High School,106935,15,1,2,1,1
24,Operations,Executive,Master,95638,2,3,3,0,0
39,Finance,Executive,Master,80247,14,2,2,0,0
58,Operations,Executive,Master,40832,13,2,2,1,1
47,Finance,Manager,High School,126520,13,3,3,1,0
33,Finance,Manager,Bachelor,158434,16,2,4,0,0
33,Finance,Senior,High School,136249,14,2,4,0,0
42,Operations,Manager,Master,49278,4,1,1,1,1
48,HR,Junior,Bachelor,30257,3,3,1,1,1
42,HR,Junior,Bachelor,65041,18,4,1,0,0
39,HR,Manager,PhD,175610,13,2,2,0,1
28,IT,Executive,Master,180839,15,3,3,1,0
28,HR,Executive,Bachelor,64879,15,1,1,1,1
46,HR,Junior,Master,174898,10,1,4,0,0
46,HR,Manager,Master,75540,16,3,1,0,0
43,Sales,Senior,High School,128179,15,1,4,1,1
33,Finance,Senior,PhD,136808,3,2,4,0,0
48,Operations,Junior,PhD,105957,7,1,3,1,1
29,Sales,Senior,PhD,136530,10,2,4,0,0
40,Finance,Junior,Bachelor,112298,15,3,4,0,0
39,HR,Senior,Master,123277,11,1,4,0,0
59,HR,Junior,Master,82014,6,2,4,0,0
32,Sales,Junior,Bachelor,175124,16,3,3,1,0
35,Operations,Executive,Master,23598,16,4,4,0,0
51,Sales,Junior,High School,85985,11,1,2,1,1
34,Sales,Executive,High School,99200,12,2,2,1,1
31,Finance,Senior,High School,47929,18,4,4,0,0
46,IT,Senior,Master,76135,12,2,4,0,0
47,Operations,Manager,High School,93428,14,4,3,1,0
31,Operations,Executive,High School,123314,7,1,1,0,0
58,Sales,Junior,Bachelor,169740,4,3,2,0,0
54,Sales,Manager,Master,117667,0,1,4,1,1
39,HR,Junior,High School,125219,2,3,3,1,0
26,Sales,Junior,High School,113918,16,3,4,1,0
58,Finance,Senior,Master,79874,5,2,1,1,1
48,HR,Senior,Master,160827,16,2,1,1,1
21,IT,Manager,Master,105771,0,3,3,0,0
55,Finance,Manager,High School,136618,0,1,2,1,1
28,Operations,Manager,Bachelor,45400,14,1,2,0,1
27,Operations,Senior,Bachelor,51580,4,4,4,1,0
31,Finance,Executive,Master,147409,11,2,2,0,1
59,Sales,Senior,High School,174547,17,2,2,0,1
24,Sales,Junior,High School,36138,6,2,3,1,1
45,Sales,Manager,PhD,139792,12,4,4,0,0
32,Operations,Senior,Bachelor,40997,12,1,3,0,0
46,Finance,Manager,Master,139930,12,3,2,1,0
58,Sales,Senior,Master,147606,9,2,4,1,0
32,HR,Executive,Master,126515,0,3,4,0,0
57,Operations,Junior,High School,174024,12,3,3,0,0
44,Finance,Executive,High School,199488,9,1,1,0,1
36,Finance,Manager,Master,29869,1,3,4,1,1
33,Finance,Junior,PhD,58407,13,1,1,1,1
45,Finance,Executive,High School,147352,16,2,1,1,1
24,IT,Junior,Bachelor,133227,18,2,1,0,1
31,HR,Junior,Bachelor,62109,7,4,4,1,0
52,IT,Junior,Master,160572,11,4,4,1,0
27,Sales,Senior,High School,81206,17,3,3,0,0
31,IT,Manager,Master,113610,16,2,1,0,1
48,IT,Executive,PhD,48572,11,4,4,1,0
43,Operations,Manager,High School,53881,8,3,4,1,0
43,Finance,Junior,Bachelor,67105,2,4,1,1,0
48,IT,Junior,High School,123344,11,1,2,1,1
46,Finance,Junior,Bachelor,159539,6,2,3,1,0
45,HR,Junior,Bachelor,105479,9,2,2,1,1
49,IT,Junior,Bachelor,107964,13,2,1,1,1
39,Operations,Junior,PhD,57643,17,2,4,1,1
53,Operations,Manager,Bachelor,144981,10,1,2,1,1
56,Sales,Senior,PhD,162517,1,3,3,1,0
34,IT,Senior,High School,159292,3,2,4,0,0
34,HR,Manager,Master,188629,15,2,3,1,1
55,Finance,Manager,High School,111359,19,4,1,1,0
50,IT,Manager,Master,91953,4,1,4,0,0
48,Sales,Manager,Bachelor,41383,9,4,3,0,0
37,Operations,Executive,Bachelor,108220,16,1,2,1,1
23,IT,Senior,Bachelor,99996,6,2,1,1,1
36,Sales,Senior,PhD,171503,8,2,2,0,0
50,HR,Manager,Bachelor,88956,6,3,4,1,0
49,Finance,Executive,PhD,109247,7,1,1,0,0
35,HR,Manager,PhD,70266,1,4,3,0,0
45,HR,Senior,High School,140723,17,3,3,0,0
58,Finance,Executive,High School,115097,7,3,4,0,0
58,IT,Junior,Bachelor,60042,9,1,1,1,1
43,Finance,Junior,PhD,181615,2,3,3,0,0
45,Sales,Junior,PhD,53276,11,1,3,0,0
27,HR,Junior,High School,111312,14,3,4,0,0
42,Finance,Executive,Master,71502,5,2,4,0,0
37,Operations,Manager,Master,53509,15,1,4,1,0
38,Finance,Senior,Master,41130,1,3,3,0,0
30,Finance,Executive,High School,114889,0,2,1,0,1
30,Sales,Junior,High School,156346,18,1,4,1,1
27,HR,Executive,PhD,84543,11,2,4,0,0
58,Sales,Senior,High School,124663,6,2,1,1,1
47,Sales,Executive,High School,41190,9,3,2,0,0
53,Operations,Junior,Master,193123,18,3,3,0,0
21,Sales,Executive,Master,99225,11,2,1,1,1
54,Sales,Manager,Bachelor,98888,11,3,4,1,0
24,Operations,Executive,Bachelor,137780,5,2,3,1,1
37,IT,Executive,Master,39772,9,1,1,0,1
24,Sales,Junior,Bachelor,143451,2,4,1,0,0
46,Finance,Junior,Bachelor,30808,9,1,3,1,1
24,Sales,Senior,Master,120706,11,2,4,0,0
21,HR,Senior,PhD,43481,4,3,1,0,0
27,Finance,Senior,High School,139970,13,1,4,1,0
50,Finance,Junior,High School,133626,5,3,3,1,0
29,IT,Executive,Master,86499,9,4,3,1,0
55,HR,Executive,Master,164501,3,2,2,0,0
28,HR,Manager,Bachelor,164508,13,3,1,0,0
44,HR,Junior,PhD,172395,9,2,3,1,1
39,Sales,Junior,Master,70605,16,4,2,0,0
56,Sales,Senior,PhD,75119,10,4,1,0,0
47,Finance,Manager,Bachelor,140589,2,1,3,1,0
52,IT,Junior,Master,91267,2,2,2,0,1
34,Sales,Senior,PhD,174088,14,2,4,0,0
38,Sales,Senior,PhD,128376,14,2,3,0,0
48,IT,Manager,Bachelor,88281,11,2,3,0,0
49,HR,Senior,Bachelor,67832,14,2,4,1,1
36,Finance,Senior,Bachelor,46214,2,3,2,0,0
55,Sales,Junior,Master,197345,9,1,2,1,1
51,IT,Senior,PhD,143087,11,4,4,1,0
24,IT,Executive,Bachelor,195658,18,3,4,0,0
57,HR,Senior,PhD,23958,8,2,3,0,0
37,Operations,Executive,PhD,108281,8,4,2,0,0
59,Operations,Junior,PhD,29990,19,1,1,0,1
46,Operations,Senior,PhD,55729,0,4,1,1,1
59,Operations,Senior,High School,42845,12,1,2,0,1
24,Sales,Executive,PhD,195902,17,3,1,0,0
50,IT,Manager,Master,73787,13,2,1,1,1
50,Finance,Executive,Master,34347,7,1,1,1,1
42,Sales,Executive,PhD,135526,2,4,4,1,0
31,Operations,Executive,Bachelor,97126,7,1,2,1,1
22,Finance,Junior,Master,180721,7,4,2,0,0
32,Finance,Executive,Bachelor,194388,18,2,3,0,0
50,Operations,Manager,Master,146256,9,4,1,1,0
56,Finance,Executive,PhD,123511,7,1,3,1,0
38,Sales,Manager,PhD,27720,4,3,1,1,1
46,HR,Senior,High School,198122,11,4,3,0,0
27,Sales,Executive,High School,164809,5,4,2,0,0
21,Sales,Senior,Bachelor,54732,13,1,3,0,0
46,HR,Junior,PhD,53196,4,3,2,1,0
43,Operations,Junior,Master,73115,12,3,4,0,0
46,Operations,Senior,Bachelor,23674,8,4,2,0,0
26,HR,Manager,Master,91593,16,1,2,1,1
26,Sales,Senior,High School,112071,2,1,3,1,0
28,IT,Executive,High School,126116,10,4,4,1,0
44,Finance,Manager,Master,95007,14,4,3,1,0
42,Finance,Executive,PhD,192968,14,1,3,1,0
39,Finance,Senior,High School,162364,1,4,2,0,0
57,IT,Senior,High School,165038,14,4,1,1,1
38,Sales,Executive,Bachelor,181194,16,2,1,1,1
51,Operations,Junior,PhD,76262,12,1,1,1,1
57,HR,Senior,Bachelor,98657,1,1,3,0,0
50,Finance,Executive,PhD,49613,6,2,1,0,1
53,IT,Senior,Master,83455,2,3,4,1,0
30,HR,Executive,High School,147547,1,1,3,1,1
57,Sales,Senior,Master,44501,0,2,1,0,1
32,IT,Manager,Bachelor,178470,9,3,3,0,0
50,IT,Manager,High School,34213,9,3,4,1,0
47,HR,Junior,Bachelor,59521,16,3,2,0,0
59,HR,Senior,Master,169639,2,3,1,1,0
29,Finance,Executive,PhD,110450,17,3,4,1,0
41,Sales,Junior,Bachelor,109181,8,2,4,0,0
32,HR,Executive,Bachelor,75838,18,2,1,0,0
49,Finance,Executive,Bachelor,183989,10,3,1,1,0
53,Finance,Executive,PhD,179415,0,3,2,1,1
35,HR,Senior,Master,59556,14,4,1,1,0
22,IT,Senior,Bachelor,56511,7,1,4,0,0
59,IT,Manager,High School,192106,11,1,1,0,1
38,IT,Senior,Master,160728,8,1,1,0,1
23,Finance,Manager,High School,90145,1,1,3,1,1
27,IT,Senior,Bachelor,72300,13,2,3,0,0
38,Sales,Senior,PhD,103854,3,4,4,1,0
58,IT,Senior,High School,80314,10,1,2,0,1
57,IT,Junior,Bachelor,199778,19,1,3,1,0
53,Finance,Manager,Bachelor,97151,5,2,1,1,1
51,Operations,Junior,High School,124891,2,4,3,1,0
31,Sales,Manager,High School,95480,13,3,2,0,0
24,Finance,Junior,High School,192313,11,3,3,0,0
38,Sales,Junior,High School,100881,18,1,4,0,0
24,Sales,Senior,Master,85192,1,1,2,0,1
54,IT,Senior,High School,55139,18,4,3,0,0
49,Sales,Junior,Master,190004,16,1,4,1,1
44,IT,Executive,Master,79599,17,4,2,1,0
42,Sales,Manager,Master,137149,14,2,1,1,1
22,Operations,Manager,Master,141825,13,4,3,0,0
26,Sales,Senior,High School,100901,9,3,2,0,0
45,HR,Manager,High School,120447,0,1,1,1,1
41,IT,Senior,Bachelor,150523,12,2,1,0,1
36,Operations,Executive,High School,106863,6,1,3,1,0
51,IT,Senior,High School,175918,12,1,3,1,1
34,Operations,Senior,Master,55268,0,1,1,1,1
59,IT,Junior,Bachelor,142390,19,4,1,0,0
48,HR,Executive,High School,31779,16,4,2,0,0
52,HR,Senior,Master,116125,18,2,4,0,0
48,Operations,Manager,High School,145110,7,2,3,0,0
29,Finance,Senior,Bachelor,46854,16,1,1,0,1
42,IT,Junior,High School,23712,14,2,1,0,1
52,Finance,Manager,High School,182734,7,2,4,1,0
25,Sales,Executive,High School,91734,1,1,2,0,1
43,HR,Junior,High School,95831,15,3,4,1,0
25,IT,Manager,High School,74499,5,1,3,1,1
52,HR,Senior,PhD,55940,16,4,2,1,0
30,Sales,Executive,Bachelor,97523,11,4,1,0,0
59,Operations,Executive,Master,100263,6,2,3,1,1
35,IT,Junior,Bachelor,106626,5,2,2,1,1
27,IT,Manager,Bachelor,100360,9,4,4,0,0
49,IT,Junior,High School,145250,3,1,3,0,0
23,Operations,Junior,High School,135766,11,4,2,0,0
39,HR,Manager,High School,130577,18,2,1,0,1
30,Operations,Manager,High School,114687,3,2,3,1,0
48,HR,Executive,High School,96652,3,1,1,0,1
49,IT,Manager,High School,157266,13,3,1,1,0
35,Operations,Senior,High School,95699,8,2,2,1,1
55,Sales,Executive,Bachelor,85873,6,3,4,1,0
26,Operations,Junior,High School,110184,17,1,3,0,0
32,HR,Junior,High School,192718,12,1,3,0,0
58,IT,Senior,Bachelor,185142,4,4,3,0,0
33,HR,Manager,Master,164715,17,4,4,1,0
49,Finance,Manager,Master,185053,15,4,2,0,0
39,IT,Manager,PhD,46983,15,3,3,0,0
23,Sales,Manager,High School,144879,17,1,2,0,1
28,Sales,Junior,Master,188670,8,2,4,1,1
28,Finance,Executive,Bachelor,59581,4,4,1,0,0
40,HR,Senior,High School,121040,9,1,2,0,0
24,Sales,Manager,PhD,59541,2,4,2,1,0
41,HR,Junior,High School,190197,18,4,4,0,0
23,IT,Manager,Bachelor,192661,5,3,4,0,0
28,Operations,Executive,High School,136116,14,4,1,0,0
43,IT,Junior,Bachelor,84106,19,4,1,0,0
36,HR,Manager,PhD,82569,12,3,4,1,0
33,Finance,Junior,High School,80500,5,2,2,0,1
23,IT,Executive,PhD,87204,14,3,4,1,0
29,Sales,Junior,PhD,111181,11,1,2,1,1
34,IT,Junior,Master,93163,17,4,3,0,0
33,IT,Senior,Master,149370,19,4,1,0,0
27,IT,Senior,PhD,167609,8,4,4,1,0
35,Finance,Junior,PhD,44878,15,2,2,0,1
27,HR,Executive,High School,68527,15,1,1,1,1
58,Finance,Senior,Bachelor,168128,19,4,4,1,0
54,Sales,Junior,Master,57160,7,2,4,0,0
42,HR,Manager,High School,110286,18,3,1,1,0
44,Sales,Senior,PhD,32964,2,4,2,0,0
57,HR,Executive,PhD,126648,8,2,3,0,0
21,HR,Senior,High School,107740,11,4,4,1,0
30,IT,Senior,PhD,149040,15,2,1,0,0
36,IT,Senior,Master,110657,17,2,1,1,1
28,Finance,Executive,Master,59419,4,2,4,0,0
45,HR,Junior,High School,100763,9,3,2,0,0
32,Sales,Senior,Bachelor,192144,9,2,4,0,0
45,IT,Senior,High School,102274,17,4,4,0,0
37,Sales,Junior,Bachelor,104488,17,4,4,1,0
46,IT,Manager,Master,190996,17,4,1,1,0
34,HR,Senior,Master,39243,12,2,4,0,1
56,Sales,Junior,Master,20283,18,2,2,1,1
43,Finance,Manager,PhD,72257,10,2,1,0,1
26,Finance,Senior,PhD,163472,0,2,2,0,1
25,Finance,Senior,Bachelor,49095,14,1,4,0,0
45,IT,Executive,High School,56081,11,2,3,0,0
38,IT,Manager,PhD,65182,3,1,1,1,1
33,Finance,Manager,Master,199962,19,2,2,0,1
34,Sales,Junior,Master,129901,17,2,3,1,0
48,IT,Senior,Bachelor,27853,8,2,4,1,1
38,Finance,Manager,Master,66701,0,3,1,0,0
48,IT,Executive,High School,178474,6,1,3,1,0
47,Operations,Senior,Master,80708,12,4,4,1,0
52,Sales,Senior,PhD,123404,5,4,3,0,0
29,HR,Manager,High School,42274,8,2,3,0,0
52,Sales,Junior,Bachelor,158048,3,2,2,0,1
40,HR,Senior,Master,154535,7,3,3,0,0
48,Finance,Executive,Bachelor,67725,1,2,1,1,1
53,IT,Senior,Master,143096,8,3,2,0,0
24,Finance,Junior,Bachelor,100135,1,3,4,0,0
54,HR,Senior,Bachelor,198004,6,3,4,0,0
23,Operations,Manager,Bachelor,147300,19,2,2,1,1
46,HR,Senior,Bachelor,144602,0,4,4,1,0
28,IT,Junior,Master,101184,14,2,3,0,0
26,Operations,Senior,High School,26791,8,2,3,0,1
36,IT,Senior,Master,99144,19,3,1,1,0
44,Operations,Manager,High School,100096,16,2,2,1,1
59,IT,Executive,Master,99208,3,1,3,1,1
50,HR,Manager,PhD,96641,2,1,4,1,1
33,HR,Executive,High School,108792,0,4,2,0,0
25,HR,Senior,Bachelor,65429,15,1,1,1,1
45,HR,Manager,Master,62531,9,3,1,1,0
40,Operations,Junior,PhD,180499,5,4,2,0,0
38,Sales,Executive,Bachelor,105712,5,4,1,1,0
38,Sales,Junior,Master,162641,6,4,1,0,0
22,Finance,Manager,Master,143275,5,2,1,0,1
30,Sales,Executive,PhD,57095,13,2,2,0,1
32,Finance,Executive,High School,20421,1,3,2,1,1
33,HR,Executive,Bachelor,76599,3,1,4,1,1
31,IT,Senior,Master,116868,12,2,3,0,0
39,Sales,Manager,Master,38236,14,1,3,0,1
55,Sales,Manager,Bachelor,193047,9,2,3,0,0
59,HR,Manager,High School,194798,16,4,1,1,0
46,HR,Executive,Bachelor,185131,5,4,1,0,0
34,Sales,Executive,Master,71031,11,1,2,1,1
44,HR,Manager,Bachelor,167099,17,4,3,1,0
21,Sales,Junior,High School,140627,7,4,3,1,0
42,IT,Manager,High School,143139,16,1,3,1,1
43,IT,Junior,High School,74160,17,3,1,0,0
39,Finance,Executive,High School,149549,13,3,4,0,0
38,Sales,Manager,Bachelor,161438,13,4,1,1,1
32,IT,Manager,Master,43579,7,2,3,1,1
48,IT,Junior,Master,133830,18,2,3,0,0
48,Operations,Executive,Bachelor,82953,3,1,2,0,1
53,IT,Executive,High School,130809,18,4,3,0,0
39,Finance,Executive,Bachelor,20837,11,4,3,0,0
48,IT,Senior,PhD,172326,18,2,4,1,0
57,HR,Junior,Master,35496,2,3,4,1,0
46,Operations,Senior,Bachelor,173605,10,3,2,1,0
55,Sales,Senior,PhD,80490,8,3,4,0,0
54,Finance,Manager,Bachelor,191196,14,3,2,0,0
55,IT,Manager,High School,104185,18,3,3,1,0
36,Sales,Senior,Master,105530,2,2,2,1,1
58,IT,Junior,PhD,76880,8,2,1,0,1
33,Operations,Manager,PhD,91179,9,4,1,0,0
43,Sales,Junior,High School,169851,2,1,1,0,1
42,HR,Manager,PhD,109000,10,4,2,1,0
36,HR,Executive,Master,85198,15,4,4,0,0
48,Sales,Senior,Bachelor,114696,16,1,2,0,1
55,HR,Manager,High School,111061,4,3,4,0,0
28,Finance,Executive,Bachelor,136870,5,1,3,0,0
42,Operations,Junior,High School,97415,13,3,3,1,0
41,Finance,Manager,PhD,81163,11,2,4,1,0
46,Sales,Executive,Master,22174,11,1,4,1,1
41,Finance,Manager,PhD,131866,3,4,2,0,0
45,Operations,Executive,High School,91522,19,4,1,1,0
21,Operations,Executive,High School,190564,5,4,3,1,0
26,Sales,Manager,Master,73459,17,2,4,1,0
43,Finance,Junior,Bachelor,46033,16,4,4,0,0
43,Operations,Manager,Bachelor,113559,3,1,1,1,1
43,Sales,Manager,Bachelor,197388,17,3,2,1,0
52,Operations,Senior,Bachelor,56556,4,1,3,1,1
50,IT,Senior,Master,97764,10,3,4,1,0
33,IT,Senior,Bachelor,196739,6,4,3,1,0
38,Operations,Senior,High School,171141,6,1,4,0,0
43,Sales,Junior,PhD,21589,14,3,2,0,0
35,IT,Senior,High School,91891,3,4,1,1,1
53,Operations,Executive,PhD,121448,8,4,1,1,0
41,HR,Junior,Bachelor,149468,14,2,1,0,1
59,Finance,Senior,PhD,86682,7,1,2,0,0
43,Operations,Manager,High School,29230,4,4,3,0,0
47,IT,Executive,Bachelor,181378,17,1,2,1,1
38,Operations,Senior,PhD,156708,9,4,1,0,0
44,Sales,Junior,Bachelor,93160,11,4,4,1,0
27,IT,Manager,High School,189063,4,4,1,0,0
40,Sales,Junior,High School,104743,16,2,4,1,1
47,Sales,Senior,PhD,95058,12,2,4,0,0
26,Sales,Junior,PhD,139617,11,1,2,0,1
47,Operations,Senior,PhD,125287,19,1,1,1,1
29,IT,Manager,High School,143510,8,1,3,1,0
51,Sales,Executive,PhD,178009,8,1,3,0,0
41,HR,Senior,High School,34355,6,2,3,1,1
46,Finance,Executive,High School,48675,5,4,2,1,0
33,Operations,Executive,PhD,174450,12,3,3,0,0
43,HR,Executive,Bachelor,90969,18,2,2,1,1
40,IT,Executive,High School,179512,1,4,2,1,1
57,Finance,Junior,PhD,97539,7,2,4,1,0
48,Sales,Junior,Master,162209,11,2,4,0,0
37,HR,Senior,Bachelor,109981,2,2,4,1,0
48,HR,Executive,PhD,191930,15,4,4,0,0
22,Sales,Junior,High School,164443,14,4,2,0,0
45,Sales,Junior,Master,74892,5,4,3,1,0
26,HR,Junior,High School,184868,2,4,2,0,0
31,IT,Executive,High School,77882,19,3,2,0,0
58,Operations,Manager,High School,71275,16,3,1,1,0
26,IT,Executive,Bachelor,190108,16,3,3,0,0
31,IT,Junior,Master,157037,14,4,4,1,0
34,Operations,Junior,Bachelor,121075,14,3,1,1,0
22,IT,Executive,PhD,137179,13,1,4,1,0
23,Finance,Junior,Bachelor,76895,6,4,3,1,0
55,Sales,Junior,Bachelor,100879,0,1,1,1,1
53,HR,Senior,Master,172397,16,3,1,1,0
44,Operations,Executive,Bachelor,91765,16,1,1,1,1
39,IT,Manager,High School,127943,19,4,4,0,0
38,HR,Junior,Master,132311,1,4,4,1,0
44,Finance,Manager,High School,140154,6,4,1,0,0
55,IT,Manager,High School,49021,19,3,3,0,0
21,IT,Junior,Master,49038,12,2,3,0,0
56,IT,Executive,PhD,65305,2,2,1,1,1
45,Finance,Manager,PhD,65026,7,3,3,0,0
54,Sales,Junior,High School,166195,3,2,3,1,0
45,HR,Senior,Bachelor,172519,7,1,3,1,0
36,IT,Junior,PhD,140095,18,3,4,0,0
54,IT,Executive,High School,166777,16,2,1,0,1
49,Finance,Senior,PhD,98781,15,4,2,1,0
39,Finance,Executive,High School,60073,13,2,3,0,0
43,HR,Executive,PhD,165537,16,4,4,1,0
39,HR,Senior,PhD,34794,7,1,3,1,1
45,IT,Executive,Master,33910,6,3,1,1,1
36,IT,Junior,PhD,21517,14,1,1,1,1
29,IT,Senior,PhD,196547,12,4,2,1,0
21,IT,Manager,Master,184129,0,1,1,0,1
39,IT,Junior,PhD,65010,2,3,4,1,0
53,Finance,Senior,High School,21599,14,2,2,1,1
54,Sales,Executive,Bachelor,23925,7,1,2,0,1
36,HR,Manager,PhD,186388,16,2,2,1,1
38,Finance,Junior,High School,150620,13,1,2,1,1
54,Operations,Junior,High School,155816,13,1,1,1,1
45,Operations,Junior,PhD,73337,3,1,2,1,1
26,Operations,Executive,High School,100402,4,3,4,0,0
41,HR,Executive,Master,191412,5,4,1,1,0
26,IT,Junior,Bachelor,167116,17,3,1,1,0
52,Operations,Senior,Bachelor,156565,14,1,1,0,1
59,Operations,Manager,PhD,30983,17,3,1,1,1
51,Sales,Manager,PhD,139563,0,1,3,1,1
30,Finance,Junior,PhD,186828,8,1,3,0,0
50,HR,Senior,High School,121030,3,4,1,1,0
38,HR,Manager,PhD,155816,14,4,1,1,0
44,Sales,Executive,Bachelor,130906,16,2,3,1,0
29,Operations,Junior,Bachelor,156363,14,4,2,0,0
51,Sales,Junior,PhD,59202,17,1,2,1,1
35,IT,Executive,Bachelor,80090,4,3,1,0,0
24,Operations,Manager,PhD,181675,17,2,1,0,1
29,HR,Junior,Master,77517,6,2,4,0,0
29,Finance,Manager,PhD,73696,11,1,3,1,0
46,Sales,Junior,Master,130931,0,1,4,1,1
24,Sales,Senior,High School,53388,19,4,2,0,0
37,HR,Senior,High School,75335,12,2,2,0,1
36,Operations,Executive,Bachelor,67865,14,2,1,1,1
35,Operations,Executive,Master,133347,12,1,4,1,1
55,Operations,Executive,PhD,82849,13,1,4,1,1
